Measure,Time,Band,Cluster,Normative_Mean,Normative_Std,diff,tCI_5,tCI_95,corr,cor_5,corr_95,cv,cv_5,cv_95,ICC,ICC_5,ICC_95,SEM
RSP,120 - 180,12 - 25,Centro-Parietal Midline,43.661878509393254,7.59772566591409,0.71195832557462,-0.48,1.9,0.8330924047741125,0.73,0.9,5.8473099372054245,4.862647424818104,6.831972449592744,0.8297064723302725,0.73,0.9,3.1638601472828976
RSP,120 - 180,12 - 25,Centro-Parietal Right,46.28880370917697,6.850845884297841,0.5650438167173969,-0.45,1.58,0.8581807899903209,0.77,0.91,4.60220733294203,3.812585245106419,5.391829420777641,0.8567212419918859,0.77,0.91,2.704326475185608
RSP,120 - 180,12 - 25,Fronto-Central Left,44.50638006047707,6.277947944251642,0.6867479506301658,-0.34,1.71,0.8231863364350932,0.72,0.89,4.667114516884483,3.867324974038142,5.466904059730825,0.8142975184223731,0.7,0.89,2.742426744794109
RSP,120 - 180,12 - 25,Fronto-Central Midline,43.522515310839665,6.592784993823639,0.6985044517869304,-0.31,1.7,0.8465135311359054,0.75,0.91,4.721549678680615,3.913233081894378,5.529866275466852,0.841789931884937,0.75,0.9,2.6914127372035175
RSP,120 - 180,12 - 25,Fronto-Central Right,44.682921253974264,6.100097240195249,0.4383266272636544,-0.46,1.34,0.8580768054089032,0.77,0.91,4.214234097460827,3.4853864906228855,4.943081704298766,0.8547683549848782,0.77,0.91,2.382953107301395
RSP,120 - 180,12 - 25,Occipital Midline,44.83813806966184,6.588957345041331,0.8881001505698649,-0.16,1.94,0.8466512031724003,0.75,0.91,4.819725219974103,3.996029810880423,5.643420629067785,0.8374515168811358,0.74,0.9,2.825800238259185
RSP,120 - 180,12 - 25,Parieto-Occipital Left,46.55413797658592,7.604364510593968,0.7708238487494513,-0.12,1.67,0.9092186018340894,0.85,0.95,3.976950417806008,3.285272365879123,4.668628469732893,0.906337942905639,0.85,0.94,2.4144002593251015
RSP,120 - 180,12 - 25,Parieto-Occipital Midline,46.910384557451316,7.330328060070071,0.4581856520920959,-0.5,1.41,0.8778489660582927,0.8,0.93,4.380600412034996,3.625692176527141,5.135508647542848,0.8736942309919558,0.8,0.92,2.5331727982663597
RSP,120 - 180,12 - 25,Parieto-Occipital Right,46.11604983589729,7.399687778352651,0.5383555425475116,-0.39,1.47,0.8851852533166871,0.81,0.93,4.132706820104915,3.4166301405251733,4.848783499684657,0.8822792418734031,0.81,0.93,2.473711530681726
RSP,120 - 180,12 - 25,Temporal Left,44.52878182846108,5.944595616810404,0.3244865999456681,-0.82,1.47,0.7747429273244444,0.64,0.86,5.260059422467693,4.3673873928891505,6.152731452046234,0.7767417397600097,0.65,0.86,3.035735754165878
RSP,120 - 180,12 - 25,Temporal Right,44.24587207171849,6.40610424940834,0.249496407957698,-0.76,1.26,0.8321538994225524,0.73,0.9,4.675698039782845,3.874563921843244,5.476832157722447,0.8310293910092879,0.73,0.9,2.6537027893531793
